pitch_type,percentile,strike_pct,comploc_pct,z_whiff_pct,chase_pct
CH,0.1,47.38157894736842,42.560167422392745,4.166666666666666,20.0
CH,0.5,58.411949685534594,57.0510972948491,16.666666666666664,32.392686804451515
CH,0.9,68.31182643221781,69.21945701357465,31.021943573667716,43.80357142857143
CU,0.1,44.44444444444444,47.70454545454545,0.0,11.890756302521007
CU,0.5,56.41025641025641,60.0,7.6923076923076925,24.313863476425052
CU,0.9,65.26191723415401,70.59768485707536,17.256371814092958,35.714285714285715
FA,0.1,51.33816743572841,59.25925925925925,0.0,10.714285714285714
FA,0.5,61.67165668662675,69.49152542372882,8.333333333333332,20.833333333333336
FA,0.9,69.44736842105263,77.61390416339356,17.391304347826086,31.25
FC,0.1,52.17391304347826,53.366807610993654,4.329710144927536,18.166915052160956
FC,0.5,63.3739837398374,66.53333333333333,11.76470588235294,30.413469735720376
FC,0.9,73.40798704803022,78.44537815126051,23.809523809523807,43.75
FS,0.1,49.28787878787879,40.64558629776021,4.761904761904762,16.267942583732058
FS,0.5,58.97435897435898,62.16216216216216,15.0,33.33333333333333
FS,0.9,70.29629629629629,69.5852534562212,32.82051282051282,43.64046973803072
SI,0.1,54.11036036036036,59.850746268656714,0.0,12.5
SI,0.5,63.28431372549019,70.12396694214877,5.996404725218285,22.915707047443576
SI,0.9,70.68317345086855,77.14285714285715,14.285714285714285,34.78260869565217
SL,0.1,48.484848484848484,48.77439024390244,0.0,14.814814814814813
SL,0.5,58.97435897435898,60.810810810810814,10.112359550561797,27.77777777777778
SL,0.9,68.54574638844302,70.76203328834909,20.417439703153992,40.0
